Material counts for Quest Type:
TotalQuests: 2000

Quest Type: FIND_STRUCTURE
- FORTRESS             count: 26           16,25 %    (15,84% expected)
Fish 2 Salmon (⭐)  
 + 8 Flint

Mine 112 Iron Ore (⭐⭐)  
 + 2 Diamond

Mine 80 Nether Quartz Ore (⭐⭐⭐)  
 + 1 Diamond Leggings

Mine 24 Diamond Ore (⭐⭐⭐⭐)  
 + 13 Diamond

Chop 160 Logs (⭐⭐)  
 + 20 Iron Ingot

Mine 24 Diamond Ore (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Fire Aspect II
 + 1 Diamond Helmet

Mine 48 Iron Ore (⭐)  
 + 8 Golden Carrot

Chop 224 Logs (⭐⭐)  
 + 1 Music Disc Otherside

Mine 8 Lapis Ore (⭐⭐)  
 + 1 Chainmail Leggings: Blast Protection II
 + 3 Saddle

Mine 112 Coal Ore (⭐⭐)  
 + 1 Diamond

Trade with a Fletcher 12 times (⭐⭐)  
 + 1 Enchanted Book: Unbreaking III

Mine 32 Diamond Ore (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Wind Burst I

Kill 60 Creepers (⭐⭐⭐)  
 + 7 Diamond

Harvest 80 Beetroots (⭐⭐)  
 + 1 Crossbow: Piercing III

Mine 32 Gold Ore (⭐⭐)  
 + 28 Copper Ingot

Chop 96 Logs (⭐)  
 + 12 Iron Ingot

Trade with a Villager 2 times (⭐)  
 + 8 Copper Ingot

Mine 48 Lapis Ore (⭐⭐⭐⭐)  
 + 192 Arrow

Find a Nether Fortress (⭐⭐⭐⭐)  
 + 1 Diamond Helmet: Unbreaking III

Trade with a Fisherman 8 times (⭐⭐)  
 + 1 Enchanted Book: Power II

Level up 35 times (⭐⭐⭐)  
 + 5 Diamond
 + 48 Cooked Mutton

Harvest 32 Wheat (⭐)  
 + 8 Coal

Mine 40 Lapis Ore (⭐⭐⭐⭐)  
 + 6 Sea Lantern

Travel 3km with a Boat (⭐⭐⭐)  
 + 96 Coal

Harvest 24 Nether Warts (⭐⭐⭐)  
 + 64 Arrow
 + 6 Potion: Leaping

Enchant a Diamond Hoe (⭐)  
 + 8 Flint

Enchant a Fishing Rod with Unbreaking I+ (⭐)  
 + 8 Cooked Beef
 + 1 Bow

Mine 48 Copper Ore (⭐)  
 + 2 Potion: Slow Falling +
 + 1 Iron Helmet
 + 1 Iron Pickaxe
 + 1 Iron Shovel

Drive 1,1km in a Minecart (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Mending
 + 6 Splash Potion: Regeneration II

Harvest 96 Sweet Berries (⭐⭐)  
 + 1 Chainmail Leggings: Projectile Protection III

Chop 64 Logs (⭐)  
 + 1 Potion: Invisibility +

Break 4 Amethyst Clusters (⭐⭐)  
 + 6 Potion: Leaping II

Mine 240 Coal Ore (⭐⭐)  
 + 1 Iron Pickaxe: Fortune II

Harvest 80 Sugar Cane (⭐⭐)  
 + 88 Coal

Pick 6 Cornflowers (⭐)  
 + 8 Flint
 + 1 Iron Pickaxe

Play some Music (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Power V
 + 96 Coal

Find an Ocean Monument (⭐⭐⭐⭐)  
 + 96 Copper Ingot
 + 1 Diamond Pickaxe
 + 96 Coal

Mine 32 Gold Ore (⭐⭐)  
 + 1 Iron Pickaxe: Unbreaking I

Mine 48 Copper Ore (⭐)  
 + 12 Copper Ingot
 + 1 Iron Helmet

Kill 100 Zombies (⭐⭐⭐)  
 + 1 Enchanted Book: Protection IV

Swim 2,1km (⭐⭐⭐)  
 + 48 Flint

Pick 3 Alliums (⭐)  
 + 1 Saddle

Chop 32 Oak Logs (⭐)  
 + 8 Iron Ingot
 + 1 Iron Pickaxe
 + 1 Iron Spear

Mine 80 Redstone Ore (⭐⭐⭐)  
 + 96 Arrow

Find a Pillager Outpost (⭐⭐⭐⭐)  
 + 1 Netherite Hoe: Silk Touch

Chop 64 Mangrove Logs (⭐⭐)  
 + 20 Cooked Beef

Harvest 48 Carrots (⭐)  
 + 4 Gold Ingot

Mine 88 Gold Ore (⭐⭐⭐)  
 + 6 Splash Potion: Healing II
 + 1 Potion: Luck

Ride 300m on a Strider (⭐⭐⭐⭐⭐)  
 + 1 Netherite Helmet: Unbreaking III

Mine 48 Nether Quartz Ore (⭐⭐⭐)  
 + 1 Enchanted Golden Apple

Mine 48 Copper Ore (⭐)  
 + 4 Splash Potion: Swiftness +

Harvest 16 Red Mushrooms (⭐⭐)  
 + 5 Potion: Healing II

Mine 64 Nether Quartz Ore (⭐⭐⭐)  
 + 1 Coast Armor Trim Smithing Template

Mine 80 Redstone Ore (⭐⭐⭐)  
 + 16 Ender Pearl
 + 1 Bow

Break 4 Amethyst Clusters (⭐⭐)  
 + 1 Chainmail Leggings: Unbreaking II

Fish 20 Cod (⭐⭐)  
 + 1 Bundle

Find a Desert Pyramid (⭐⭐⭐)  
 + 1 Coast Armor Trim Smithing Template

Chop 64 Oak Logs (⭐⭐)  
 + 20 Iron Ingot

Chop 96 Oak Logs (⭐⭐)  
 + 1 Enchanted Book: Unbreaking III

Chop 224 Logs (⭐⭐)  
 + 1 Enchanted Book: Piercing II

Run 10km (⭐⭐⭐⭐)  
 + 1 Wayfinder Armor Trim Smithing Template
 + 1 Enchanted Book: Quick Charge III

Pick 3 Pink Tulips (⭐)  
 + 1 Potion: Fire Resistance +
 + 1 Iron Shovel

Chop 128 Logs (⭐)  
 + 2 Potion: Regeneration

Chop 32 Logs (⭐)  
 + 8 Flint

Chop 96 Logs (⭐)  
 + 6 Honey Bottle

Find a Nether Fortress (⭐⭐⭐⭐)  
 + 84 Iron Ingot
 + 48 Flint

Kill 90 Zombies (⭐⭐⭐)  
 + 1 Diamond Axe
 + 6 Potion: Fire Resistance

Mine 24 Diamond Ore (⭐⭐⭐⭐)  
 + 192 Arrow

Chop 96 Spruce Logs (⭐⭐)  
 + 1 Diamond

Mine 64 Coal Ore (⭐)  
 + 1 Chainmail Leggings
 + 1 Iron Pickaxe

Mine 160 Coal Ore (⭐⭐)  
 + 1 Enchanted Book: Feather Falling II
 + 1 Iron Pickaxe

Enchant a Shield (⭐)  
 + 1 Potion: Invisibility +

Harvest 12 Chorus Flowers (⭐⭐⭐⭐⭐)  
 + 1 Netherite Upgrade Smithing Template
 + 12 Glow Ink Sac

Level up 10 times (⭐⭐)  
 + 36 Iron Ingot

Ride 12km on a Horse (⭐⭐⭐⭐⭐)  
 + 1 Netherite Pickaxe
 + 48 Flint

Mine 48 Lapis Ore (⭐⭐⭐⭐)  
 + 128 Arrow
 + 12 Glow Ink Sac

Mine 96 Iron Ore (⭐⭐)  
 + 1 Chainmail Leggings: Unbreaking II

Catch 8 fish (⭐)  
 + 4 Gold Ingot
 + 1 Iron Shovel

Break 4 Amethyst Clusters (⭐⭐)  
 + 2 Diamond

Mine 96 Coal Ore (⭐)  
 + 2 Potion: Regeneration

Find a Desert Pyramid (⭐⭐⭐)  
 + 1 Diamond Spear: Sharpness III

Mine 32 Copper Ore (⭐)  
 + 2 Splash Potion: Night Vision +

Harvest 32 Cocoa Beans (⭐⭐)  
 + 32 Arrow

Pick 3 Lily Of The Valleys (⭐)  
 + 1 Splash Potion: Slow Falling

Harvest 72 Melon Slices (⭐⭐)  
 + 1 Music Disc Creator
 + 1 Chainmail Leggings

Harvest 8 Pumpkins (⭐)  
 + 8 Flint

Harvest 32 Potatoes (⭐)  
 + 8 Iron Ingot

Chop 96 Oak Logs (⭐⭐)  
 + 1 Diamond

Trade with a Villager 8 times (⭐⭐)  
 + 12 Gold Ingot

Pick 6 Blue Orchids (⭐)  
 + 1 Splash Potion: Leaping II
 + 1 Crossbow

Kill 70 Skeletons (⭐⭐⭐⭐)  
 + 1 Enchanted Golden Apple
 + 6 Potion: Regeneration +

Mine 112 Iron Ore (⭐⭐)  
 + 2 Diamond

Harvest 112 Sweet Berries (⭐⭐)  
 + 56 Coal
 + 6 Honey Bottle
 + 1 Iron Axe

Mine 112 Coal Ore (⭐⭐)  
 + 1 Golden Apple

Trade with a Farmer 8 times (⭐⭐)  
 + 1 Enchanted Book: Thorns II

Mine 32 Gold Ore (⭐⭐)  
 + 1 Chainmail Helmet: Unbreaking II

Trade with a Villager 8 times (⭐⭐)  
 + 1 Music Disc Blocks
 + 1 Iron Hoe

Mine 24 Lapis Ore (⭐⭐⭐)  
 + 48 Gold Ingot

Harvest 112 Carrots (⭐⭐)  
 + 4 Ender Pearl

Chop 96 Logs (⭐)  
 + 24 Coal

Mine 80 Coal Ore (⭐)  
 + 16 Cooked Chicken
 + 1 Iron Pickaxe

Fish 8 Cod (⭐)  
 + 12 Copper Ingot

Chop 32 Jungle Logs (⭐)  
 + 1 Enchanted Book: Lure III

Mine 208 Coal Ore (⭐⭐)  
 + 1 Enchanted Book: Bane Of Arthropods V

Find a Nether Fortress (⭐⭐⭐⭐)  
 + 8 Diamond

Mine 128 Coal Ore (⭐⭐)  
 + 1 Diamond

Harvest 32 Carrots (⭐)  
 + 1 Iron Leggings

Pick 7 Blue Orchids (⭐)  
 + 8 Cooked Beef
 + 1 Iron Leggings

Chop 160 Logs (⭐⭐)  
 + 8 Golden Carrot

Kill 50 Cows (⭐⭐)  
 + 1 Enchanted Book: Feather Falling II

Harvest 16 Wheat (⭐)  
 + 1 Iron Shovel
 + 1 Iron Spear

Chop 96 Oak Logs (⭐⭐)  
 + 12 Gold Ingot

Mine 64 Nether Gold Ore (⭐⭐⭐)  
 + 48 Flint
 + 6 Chorus Fruit

Kill 24 Endermen (⭐⭐⭐⭐⭐)  
 + 24 Diamond

Find an Ocean Monument (⭐⭐⭐⭐)  
 + 1 Netherite Hoe: Silk Touch

Chop 64 Logs (⭐)  
 + 1 Crossbow: Piercing III

Pick 4 Red Tulips (⭐)  
 + 1 Golden Apple
 + 1 Iron Spear

Mine 48 Coal Ore (⭐)  
 + 4 Iron Ingot
 + 1 Iron Pickaxe

Chop 96 Oak Logs (⭐⭐)  
 + 16 Flint

Mine 12 Ancient Debris (⭐⭐⭐⭐⭐)  
 + 1 Netherite Pickaxe: Efficiency IV
 + 1 Enchanted Book: Frost Walker II

Harvest 80 Wheat (⭐)  
 + 1 Potion: Fire Resistance +
 + 1 Iron Hoe

Chop 160 Logs (⭐⭐)  
 + 2 Splash Potion: Fire Resistance +
 + 1 Iron Pickaxe

Mine 16 Nether Gold Ore (⭐⭐)  
 + 1 Enchanted Book: Aqua Affinity

Chop 32 Spruce Logs (⭐)  
 + 1 Golden Apple
 + 1 Iron Axe

Harvest 16 Pumpkins (⭐⭐)  
 + 24 Copper Ingot

Harvest 16 Cocoa Beans (⭐)  
 + 1 Splash Potion: Invisibility +

Chop 96 Logs (⭐)  
 + 16 Coal
 + 1 Bow

Kill 16 Blazes (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Looting III
 + 1 Wayfinder Armor Trim Smithing Template
 + 1 Bow

Harvest 8 Red Mushrooms (⭐)  
 + 12 Cooked Porkchop

Chop 96 Logs (⭐)  
 + 3 Splash Potion: Night Vision

Chop 64 Cherry Logs (⭐⭐)  
 + 8 Gold Ingot

Mine 192 Coal Ore (⭐⭐)  
 + 32 Cooked Beef
 + 1 Iron Axe: Unbreaking III

Find a Nether Fortress (⭐⭐⭐⭐)  
 + 1 Rib Armor Trim Smithing Template

Mine 64 Redstone Ore (⭐⭐⭐)  
 + 96 Iron Ingot

Find a Village (⭐⭐⭐)  
 + 1 Enchanted Book: Sharpness V

Harvest 96 Potatoes (⭐⭐)  
 + 1 Amethyst Shard
 + 1 Iron Pickaxe

Chop 64 Birch Logs (⭐⭐)  
 + 1 Diamond Spear
 + 1 Crossbow

Kill 4 Witches (⭐⭐⭐⭐)  
 + 1 Netherite Spear: Lunge II

Harvest 112 Wheat (⭐)  
 + 16 Iron Ingot
 + 1 Iron Hoe

Mine 80 Iron Ore (⭐⭐)  
 + 1 Iron Pickaxe: Efficiency III
 + 1 Crossbow

Mine 16 Lapis Ore (⭐⭐⭐)  
 + 1 Bow: Punch II
 + 36 Iron Ingot

Enchant 6 Books (⭐⭐)  
 + 1 Diamond
 + 1 Iron Pickaxe

Chop 32 Acacia Logs (⭐)  
 + 12 Copper Ingot

Find a Pillager Outpost (⭐⭐⭐⭐)  
 + 48 Flint
 + 6 Splash Potion: Regeneration II

Kill 10 Chickens (⭐)  
 + 1 Crossbow

Enchant 4 Books (⭐⭐)  
 + 3 Splash Potion: Healing II

Find a Shipwreck (⭐⭐⭐)  
 + 6 Diamond

Pick 1 Orange Tulip (⭐)  
 + 4 Iron Ingot

Harvest 16 Wheat (⭐)  
 + 1 Bow

Chop 32 Oak Logs (⭐)  
 + 1 Bow
 + 1 Iron Axe
 + 1 Iron Spear

Find a Village (⭐⭐⭐)  
 + 1 Enchanted Book: Depth Strider III

Trade with a Cleric 4 times (⭐⭐)  
 + 2 Diamond

Harvest 64 Potatoes (⭐)  
 + 16 Cooked Beef
 + 1 Iron Pickaxe

Harvest 48 Sugar Cane (⭐⭐)  
 + 1 Chainmail Helmet: Thorns I

Harvest 112 Sweet Berries (⭐⭐)  
 + 3 Golden Apple

Kill 40 Drowned (⭐⭐⭐)  
 + 1 Diamond Axe: Silk Touch

Chop 64 Birch Logs (⭐⭐)  
 + 1 Sea Lantern

Level up 30 times (⭐⭐⭐)  
 + 1 Enchanted Book: Soul Speed III

Chop 32 Logs (⭐)  
 + 1 Potion: Regeneration +

Find a Woodland Mansion (⭐⭐⭐⭐⭐⭐)  
 + 24 Blaze Rod
 + 3 Enchanted Golden Apple
 + 1 Enchanted Book: Sharpness V
 + 96 Copper Ingot
 + 1 Potion: Luck

Harvest 80 Sweet Berries (⭐⭐)  
 + 1 Iron Pickaxe: Efficiency III

Harvest 32 Red Mushrooms (⭐⭐)  
 + 1 Enchanted Book: Sharpness IV

Level up 15 times (⭐⭐)  
 + 1 Music Disc Relic
 + 1 Iron Helmet

Kill 100 Drowned (⭐⭐⭐⭐)  
 + 9 Golden Apple
 + 6 Potion: Leaping +
 + 1 Bow: Flame

Level up 30 times (⭐⭐⭐)  
 + 1 Enchanted Book: Unbreaking III

Harvest 96 Wheat (⭐)  
 + 1 Diamond Spear

Mine 88 Gold Ore (⭐⭐⭐)  
 + 1 Enchanted Book: Knockback II

Mine 144 Coal Ore (⭐⭐)  
 + 1 Enchanted Book: Feather Falling II

Harvest 48 Carrots (⭐)  
 + 1 Iron Leggings
 + 1 Fishing Rod

Level up 20 times (⭐⭐⭐)  
 + 64 Arrow

Chop 64 Oak Logs (⭐⭐)  
 + 1 Diamond

Mine 80 Nether Gold Ore (⭐⭐⭐)  
 + 7 Amethyst Shard
 + 1 Fishing Rod: Luck Of The Sea III

Trade with a Armorer 8 times (⭐⭐)  
 + 64 Arrow

Trade with a Villager 14 times (⭐⭐)  
 + 1 Iron Shovel: Silk Touch

Harvest 64 Potatoes (⭐)  
 + 8 Flint
 + 1 Iron Axe
 + 1 Iron Spear

Level up 25 times (⭐⭐⭐)  
 + 4 Diamond

Mine 240 Coal Ore (⭐⭐)  
 + 1 Enchanted Book: Power I

Kill 28 Blazes (⭐⭐⭐⭐⭐)  
 + 25 Diamond

Chop 32 Jungle Logs (⭐)  
 + 12 Iron Ingot

Harvest 48 Cocoa Beans (⭐⭐)  
 + 24 Gold Ingot

Chop 224 Logs (⭐⭐)  
 + 1 Music Disc Strad
 + 1 Iron Axe

Level up 45 times (⭐⭐⭐⭐)  
 + 1 Iron Shovel: Mending

Travel 9km with a Boat (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Power IV
 + 1 Diamond Axe
 + 1 Goat Horn

Chop 32 Dark Oak Logs (⭐)  
 + 1 Iron Leggings
 + 4 Iron Ingot

Harvest 48 Wheat (⭐)  
 + 4 Gold Ingot

Harvest 2 Chorus Flowers (⭐⭐⭐)  
 + 1 Iron Shovel: Unbreaking II
 + 1 Diamond Sword
 + 1 Iron Leggings

Eat some Cake (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Looting III

Mine 64 Iron Ore (⭐⭐)  
 + 4 Ender Pearl
 + 1 Iron Axe

Find a Village (⭐⭐⭐)  
 + 1 Enchanted Book: Sharpness III

Chop 96 Spruce Logs (⭐⭐)  
 + 1 Diamond

Mine 80 Redstone Ore (⭐⭐⭐)  
 + 4 Ancient Debris

Chop 192 Logs (⭐⭐)  
 + 1 Iron Spear: Sharpness I

Mine 96 Nether Gold Ore (⭐⭐⭐⭐)  
 + 160 Arrow

Ride 5km on a Horse (⭐⭐⭐⭐)  
 + 1 Wither Skeleton Skull

Mine 56 Gold Ore (⭐⭐)  
 + 2 Diamond

Mine 88 Gold Ore (⭐⭐⭐)  
 + 1 Iron Shovel: Unbreaking II
 + 1 Goat Horn
 + 1 Bow

Mine 16 Gold Ore (⭐)  
 + 1 Potion: Invisibility +
 + 3 Potion: Night Vision

Harvest 8 Red Mushrooms (⭐)  
 + 12 Copper Ingot
 + 1 Iron Shovel
 + 1 Iron Spear

Enchant a Diamond Axe with Sharpness III+ (⭐⭐⭐⭐⭐)  
 + 1 Netherite Helmet
 + 1 Enchanted Book: Smite V

Mine 112 Nether Quartz Ore (⭐⭐⭐⭐)  
 + 1 Netherite Ingot

Enchant a Crossbow with Piercing III+ (⭐⭐⭐)  
 + 1 Sentry Armor Trim Smithing Template
 + 1 Enchanted Book: Silk Touch

Chop 64 Logs (⭐)  
 + 8 Iron Ingot

Trade with a Villager 14 times (⭐⭐)  
 + 20 Gold Ingot

Chop 64 Spruce Logs (⭐⭐)  
 + 1 Golden Apple
 + 1 Fishing Rod

Mine 128 Coal Ore (⭐⭐)  
 + 1 Spyglass

Break 2 Amethyst Clusters (⭐⭐)  
 + 1 Enchanted Book: Sharpness IV

Find a Shipwreck (⭐⭐⭐)  
 + 1 Eye Armor Trim Smithing Template

Harvest 16 Sugar Cane (⭐)  
 + 1 Bow

Chop 96 Acacia Logs (⭐⭐)  
 + 6 Glow Ink Sac

Harvest 16 Pumpkins (⭐⭐)  
 + 3 Name Tag

Kill 32 Cave Spiders (⭐⭐⭐⭐)  
 + 24 Wind Charge
 + 48 Flint
 + 48 Cooked Mutton

Mine 48 Gold Ore (⭐⭐)  
 + 1 Ancient Debris
 + 1 Iron Helmet

Kill 50 Chickens (⭐⭐)  
 + 32 Arrow
 + 3 Potion: Invisibility +

Level up 45 times (⭐⭐⭐⭐)  
 + 6 Splash Potion: Healing II
 + 6 Splash Potion: Strength
 + 1 Music Disc Creator Music Box

Mine 48 Iron Ore (⭐)  
 + 8 Golden Carrot

Mine 96 Coal Ore (⭐)  
 + 1 Diamond
 + 1 Iron Helmet
 + 1 Iron Pickaxe

Kill 26 Endermen (⭐⭐⭐⭐⭐)  
 + 1 Enchanted Book: Fire Protection IV
 + 96 Iron Ingot
 + 1 Crossbow: Quick Charge III
 + 6 Potion: Water Breathing +

Chop 96 Logs (⭐)  
 + 4 Gold Ingot

Mine 48 Nether Quartz Ore (⭐⭐⭐)  
 + 5 Diamond

Find a Shipwreck (⭐⭐⭐)  
 + 68 Copper Ingot
 + 1 Enchanted Book: Flame

Pick 2 White Tulips (⭐)  
 + 1 Potion: Leaping
 + 1 Iron Spear

Mine 112 Iron Ore (⭐⭐)  
 + 2 Sea Lantern

Enchant 7 Books (⭐⭐)  
 + 40 Iron Ingot

Harvest 48 Kelp (⭐)  
 + 1 Crossbow

Level up 45 times (⭐⭐⭐⭐)  
 + 24 Ender Pearl

Pick 5 Lily Of The Valleys (⭐)  
 + 1 Potion: Fire Resistance

Harvest 32 Cacti (⭐⭐)  
 + 20 Iron Ingot

Chop 64 Birch Logs (⭐⭐)  
 + 1 Iron Spear: Sharpness III

Level up 20 times (⭐⭐⭐)  
 + 3 Sea Lantern

Mine 2 Emerald Ore (⭐⭐⭐)  
 + 3 Diamond
 + 1 Enchanted Book: Aqua Affinity

Mine 144 Coal Ore (⭐⭐)  
 + 28 Iron Ingot

Trade with a Villager 10 times (⭐⭐)  
 + 1 Music Disc Precipice

Find a Village (⭐⭐⭐)  
 + 4 Diamond

Chop 128 Logs (⭐)  
 + 16 Copper Ingot

Harvest 16 Sugar Cane (⭐)  
 + 4 Cooked Beef
 + 1 Iron Shovel

Chop 160 Logs (⭐⭐)  
 + 3 Potion: Fire Resistance +

Find a Nether Fortress (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Fortune III

Chop 32 Oak Logs (⭐)  
 + 1 Fishing Rod: Lure II

Pick 3 Cornflowers (⭐)  
 + 4 Golden Carrot

Break 48 Glowstones (⭐⭐⭐)  
 + 3 Ancient Debris

Harvest 16 Potatoes (⭐)  
 + 4 Gold Ingot

Chop 32 Spruce Logs (⭐)  
 + 24 Coal
 + 1 Iron Spear

Kill 20 Breezes (⭐⭐⭐⭐⭐)  
 + 1 Netherite Upgrade Smithing Template
 + 1 Enchanted Book: Sweeping Edge III
 + 6 Potion: Water Breathing +

Mine 112 Iron Ore (⭐⭐)  
 + 3 Golden Apple

Find a Desert Pyramid (⭐⭐⭐)  
 + 1 Enchanted Book: Unbreaking III
 + 48 Cooked Chicken
 + 6 Chorus Fruit

Mine 80 Gold Ore (⭐⭐)  
 + 3 Diamond

Harvest 48 Melon Slices (⭐⭐)  
 + 1 Chainmail Helmet: Unbreaking I

Find a Swamp Hut (⭐⭐⭐⭐⭐)  
 + 1 Trident: Loyalty II
 + 96 Coal

Mine 40 Gold Ore (⭐⭐)  
 + 1 Diamond

Pot a Plant (⭐⭐)  
 + 24 Iron Ingot
 + 3 Potion: Invisibility

Trade with a Shepherd 14 times (⭐⭐⭐)  
 + 1 Iron Leggings: Thorns III

Chop 32 Logs (⭐)  
 + 1 Golden Apple

Find a Village (⭐⭐⭐)  
 + 4 Blaze Rod
 + 1 Diamond Spear

Mine 48 Copper Ore (⭐)  
 + 40 Coal

Mine 208 Coal Ore (⭐⭐)  
 + 32 Arrow

Chop 32 Oak Logs (⭐)  
 + 1 Fishing Rod: Lure I

Swim 1,7km (⭐⭐⭐)  
 + 1 Iron Leggings: Unbreaking II

Chop 32 Spruce Logs (⭐)  
 + 6 Chorus Fruit

Kill 50 Chickens (⭐⭐)  
 + 1 Iron Axe: Sharpness II

Enchant a Shield (⭐)  
 + 1 Splash Potion: Swiftness +

Find an Igloo (⭐⭐⭐⭐)  
 + 5 Diamond
 + 1 Enchanted Book: Knockback II

Run 2,5km (⭐⭐)  
 + 2 Diamond

Chop 32 Spruce Logs (⭐)  
 + 12 Cooked Porkchop

Mine 64 Redstone Ore (⭐⭐⭐)  
 + 96 Copper Ingot

Chop 224 Logs (⭐⭐)  
 + 1 Diamond

Trade with a Butcher 8 times (⭐⭐)  
 + 4 Blaze Rod
 + 1 Iron Leggings

Mine 112 Coal Ore (⭐⭐)  
 + 20 Copper Ingot

Mine 208 Coal Ore (⭐⭐)  
 + 1 Chainmail Helmet: Protection III

Harvest 80 Potatoes (⭐⭐)  
 + 8 Gold Ingot

Mine 112 Nether Gold Ore (⭐⭐⭐⭐)  
 + 1 Diamond Spear: Lunge III

Mine 24 Gold Ore (⭐⭐)  
 + 1 Compass

Mine 112 Iron Ore (⭐⭐)  
 + 1 Fishing Rod: Luck Of The Sea III

Chop 128 Logs (⭐)  
 + 1 Compass

Enchant a Diamond Pickaxe (⭐)  
 + 1 Iron Helmet
 + 1 Iron Axe: Unbreaking III
 + 1 Iron Spear

Chop 96 Logs (⭐)  
 + 1 Golden Apple
 + 1 Iron Pickaxe

Harvest 48 Carrots (⭐)  
 + 1 Potion: Regeneration II

Harvest 80 Sugar Cane (⭐⭐)  
 + 20 Gold Ingot

Harvest 56 Nether Warts (⭐⭐⭐⭐)  
 + 9 Diamond

Kill 60 Creepers (⭐⭐⭐)  
 + 1 Iron Axe: Mending

Harvest 80 Wheat (⭐)  
 + 16 Cooked Chicken

Kill 28 Endermen (⭐⭐⭐⭐⭐)  
 + 28 Diamond

Kill 10 Sheep (⭐)  
 + 4 Golden Carrot

Pick 2 Red Tulips (⭐)  
 + 1 Iron Axe: Unbreaking II

Pick 2 Poppys (⭐)  
 + 1 Enchanted Book: Luck Of The Sea III

Fish 2 items (⭐)  
 + 8 Cooked Beef
 + 1 Iron Helmet
 + 1 Iron Pickaxe
 + 1 Iron Shovel

Mine 48 Copper Ore (⭐)  
 + 2 Splash Potion: Leaping II

Kill 100 Zombies (⭐⭐⭐)  
 + 128 Arrow

Chop 192 Logs (⭐⭐)  
 + 1 Enchanted Book: Soul Speed II

Mine 24 Gold Ore (⭐⭐)  
 + 12 Cooked Porkchop
 + 3 Potion: Night Vision +

Find a Nether Fortress (⭐⭐⭐⭐)  
 + 8 Blaze Rod
 + 1 Diamond Pickaxe

Mine 3 Emerald Ore (⭐⭐⭐)  
 + 3 Ancient Debris
 + 48 Cooked Chicken

Mine 64 Iron Ore (⭐⭐)  
 + 12 Gold Ingot

Enchant 3 Books (⭐)  
 + 2 Glow Ink Sac
 + 1 Potion: Regeneration II

Harvest 16 Kelp (⭐)  
 + 4 Iron Ingot

Mine 32 Iron Ore (⭐)  
 + 8 Flint

Enchant 5 Books (⭐⭐)  
 + 1 Iron Axe: Sharpness III

Trade with a Villager 6 times (⭐⭐)  
 + 4 Slime Ball

Kill 110 Zombies (⭐⭐⭐⭐)  
 + 1 Diamond Hoe: Unbreaking III

Mine 16 Diamond Ore (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Unbreaking III

Pick 6 Lily Of The Valleys (⭐)  
 + 2 Potion: Night Vision +

Pick 4 Alliums (⭐)  
 + 1 Chainmail Leggings
 + 1 Iron Pickaxe

Harvest 96 Wheat (⭐)  
 + 1 Potion: Regeneration II
 + 8 Copper Ingot

Mine 64 Gold Ore (⭐⭐)  
 + 52 Iron Ingot

Harvest 40 Melon Slices (⭐⭐)  
 + 1 Amethyst Shard
 + 1 Iron Pickaxe

Enchant 3 Books (⭐)  
 + 32 Coal

Chop 96 Acacia Logs (⭐⭐)  
 + 2 Splash Potion: Strength II
 + 1 Compass

Harvest 64 Sugar Cane (⭐⭐)  
 + 4 Slime Ball

Harvest 16 Sugar Cane (⭐)  
 + 8 Copper Ingot

Mine 208 Coal Ore (⭐⭐)  
 + 40 Iron Ingot

Chop 160 Logs (⭐⭐)  
 + 40 Coal

Harvest 32 Cacti (⭐⭐)  
 + 8 Flint
 + 1 Iron Axe

Level up 45 times (⭐⭐⭐⭐)  
 + 1 Diamond Helmet: Unbreaking III

Harvest 56 Brown Mushrooms (⭐⭐⭐)  
 + 64 Arrow

Pick 2 Dandelions (⭐)  
 + 1 Chorus Fruit

Level up 25 times (⭐⭐⭐)  
 + 64 Arrow

Kill 110 Skeletons (⭐⭐⭐⭐)  
 + 128 Arrow
 + 24 Firework Rocket
 + 96 Coal

Mine 80 Iron Ore (⭐⭐)  
 + 28 Cooked Beef

Chop 192 Logs (⭐⭐)  
 + 1 Diamond

Mine 56 Lapis Ore (⭐⭐⭐⭐)  
 + 1 Bolt Armor Trim Smithing Template
 + 6 Honey Bottle

Chop 224 Logs (⭐⭐)  
 + 4 Sponge

Mine 16 Nether Quartz Ore (⭐⭐)  
 + 5 Potion: Regeneration +
 + 1 Iron Axe

Pick 6 Orange Tulips (⭐)  
