Material counts for Quest Type:
TotalQuests: 2000

Quest Type: FISH_ITEM
- COD                  count: 21           30,00 %    (25,45% expected)
 + 2 Diamond

Mine 48 Gold Ore (⭐⭐)
 + 1 Enchanted Book: Sharpness III

Mine 208 Coal Ore (⭐⭐)
 + 48 Cooked Mutton

Kill 80 Drowned (⭐⭐⭐⭐)
 + 1 Netherite Axe

Ride 7km on a Horse (⭐⭐⭐⭐⭐)
 + 24 Blaze Rod
 + 96 Coal

Chop 96 Logs (⭐)
 + 4 Gold Ingot

Enchant a Crossbow with Piercing III+ (⭐⭐⭐)
 + 2 Ancient Debris
 + 6 Potion: Instant Health II

Trade with a Villager 10 times (⭐⭐)
 + 1 Iron Boots: Feather Falling II
 + 1 Iron Helmet

Mine 32 Diamond Ore (⭐⭐⭐⭐)
 + 1 Diamond Helmet: Mending

Mine 112 Iron Ore (⭐⭐)
 + 1 Chainmail Helmet: Respiration II

Enchant a Diamond Axe with Fortune I+ (⭐⭐⭐)
 + 3 Diamond

Mine 144 Iron Ore (⭐⭐)
 + 1 Enchanted Book: Fire Protection IV

Enchant 4 Books (⭐⭐)
 + 3 Name Tag

Harvest 112 Sugar Cane (⭐⭐)
 + 3 Sea Lantern

Level up 30 times (⭐⭐⭐)
 + 1 Iron Leggings: Protection III

Harvest 96 Sugar Cane (⭐⭐)
 + 96 Coal

Mine 4 Diamond Ore (⭐⭐)
 + 28 Golden Carrot

Chop 96 Dark Oak Logs (⭐⭐)
 + 28 Cooked Porkchop

Kill 50 Drowned (⭐⭐⭐)
 + 5 Diamond
 + 1 Bow

Enchant 4 Books (⭐⭐)
 + 1 Diamond Shovel

Ride 11km on a Horse (⭐⭐⭐⭐⭐)
 + 2 Netherite Ingot
 + 1 Enchanted Book: Looting III

Chop 32 Dark Oak Logs (⭐)
 + 12 Iron Ingot

Find a Ruined Portal (⭐⭐⭐)
 + 1 Chainmail Helmet: Protection III

Run 2,5km (⭐⭐⭐)
 + 1 Iron Pickaxe: Efficiency IV

Enchant a Bow with Punch I+ (⭐⭐)
 + 24 Iron Ingot
 + 1 Iron Boots

Harvest 32 Wheat (⭐)
 + 1 Crossbow

Mine 16 Diamond Ore (⭐⭐⭐⭐)
 + 1 Iron Shovel: Fortune II
 + 6 Potion: Water Breathing

Harvest 112 Beetroots (⭐⭐)
 + 1 Enchanted Book: Efficiency I
 + 1 Iron Leggings

Run 2,5km (⭐⭐⭐)
 + 8 Slime Ball

Harvest 16 Carrots (⭐)
 + 8 Coal

Chop 32 Logs (⭐)
 + 1 Iron Boots

Chop 64 Logs (⭐)
 + 16 Coal

Harvest 96 Sugar Cane (⭐⭐)
 + 1 Iron Sword: Smite IV

Kill 100 Zombies (⭐⭐⭐)
 + 2 Enchanted Golden Apple

Catch 4 fish (⭐)
 + 1 Crossbow

Harvest 64 Wheat (⭐)
 + 8 Flint

Mine 8 Diamond Ore (⭐⭐⭐)
 + 12 Ender Pearl

Mine 112 Iron Ore (⭐⭐)
 + 1 Iron Shovel: Silk Touch

Mine 32 Copper Ore (⭐)
 + 8 Flint
 + 1 Iron Pickaxe
 + 1 Iron Sword
 + 1 Iron Shovel

Enchant 5 Books (⭐⭐)
 + 28 Iron Ingot

Enchant 9 Books (⭐⭐)
 + 8 Slime Ball

Kill 22 Endermen (⭐⭐⭐⭐⭐)
 + 6 Sea Lantern
 + 1 Diamond Hoe: Efficiency II
 + 6 Nautilus Shell

Mine 64 Iron Ore (⭐⭐)
 + 24 Iron Ingot

Kill 20 Cows (⭐⭐)
 + 1 Compass
 + 1 Iron Chestplate
 + 1 Iron Axe

Mine 48 Lapis Ore (⭐⭐⭐⭐)
 + 96 Iron Ingot
 + 8 Blaze Rod

Kill 70 Zombies (⭐⭐⭐)
 + 40 Quartz
 + 6 Honey Bottle

Enchant 7 Books (⭐⭐)
 + 4 Emerald

Harvest 96 Kelp (⭐)
 + 6 Potion: Instant Health

Mine 48 Copper Ore (⭐)
 + 1 Diamond

Enchant a Diamond Axe with Bane Of Arthropods IV+ (⭐⭐⭐)
 + 10 Emerald
 + 24 Firework Rocket

Mine 112 Coal Ore (⭐⭐)
 + 8 Gold Ingot

Find a Shipwreck (⭐⭐⭐)
 + 1 Diamond Helmet

Mine 16 Diamond Ore (⭐⭐⭐⭐)
 + 1 Iron Hoe: Mending

Mine 160 Coal Ore (⭐⭐)
 + 1 Enchanted Book: Bane Of Arthropods IV

Kill 4 Blazes (⭐⭐⭐⭐)
 + 1 Diamond Chestplate

Break 2 Amethyst Clusters (⭐⭐)
 + 1 Diamond
 + 1 Iron Axe

Kill 50 Creepers (⭐⭐⭐)
 + 96 Coal
 + 1 Diamond Sword

Enchant a Diamond Axe with Bane Of Arthropods II+ (⭐⭐⭐)
 + 32 Gold Ingot

Kill 24 Blazes (⭐⭐⭐⭐⭐)
 + 14 Diamond
 + 1 Netherite Sword
 + 1 Crossbow
 + 1 Bow

Enchant a Diamond Axe with Silk Touch (⭐⭐⭐)
 + 1 Diamond Hoe: Silk Touch
 + 8 Ender Pearl

Kill 50 Zombies (⭐⭐⭐)
 + 32 Quartz

Mine 160 Coal Ore (⭐⭐)
 + 1 Diamond

Mine 8 Ancient Debris (⭐⭐⭐⭐⭐)
 + 9 Diamond
 + 1 Enchanted Book: Feather Falling IV
 + 48 Cooked Chicken
 + 3 Saddle

Trade with a Shepherd 4 times (⭐⭐)
 + 1 Chainmail Helmet: Protection II

Chop 192 Logs (⭐⭐)
 + 24 Cooked Porkchop

Mine 96 Coal Ore (⭐)
 + 1 Iron Chestplate
 + 1 Iron Pickaxe

Chop 128 Logs (⭐)
 + 12 Iron Ingot
 + 1 Iron Helmet

Kill 22 Zoglins (⭐⭐⭐⭐)
 + 20 Blaze Rod
 + 6 Potion: Strength

Travel 4km with a Boat (⭐⭐⭐)
 + 8 Blaze Rod

Kill 70 Spiders (⭐⭐⭐)
 + 1 Enchanted Golden Apple
 + 1 Enchanted Book: Thorns II

Chop 64 Logs (⭐)
 + 3 Potion: Speed +

Chop 96 Oak Logs (⭐⭐)
 + 56 Coal

Catch 8 fish (⭐)
 + 4 Gold Ingot

Trade with a Villager 4 times (⭐⭐)
 + 4 Slime Ball

Trade with a Butcher 12 times (⭐⭐⭐⭐)
 + 1 Diamond Sword: Unbreaking III

Chop 96 Spruce Logs (⭐⭐)
 + 12 Gold Ingot

Mine 88 Gold Ore (⭐⭐⭐)
 + 1 Diamond Sword: Knockback I
 + 1 Jukebox

Mine 208 Coal Ore (⭐⭐)
 + 1 Bow: Power II

Chop 160 Logs (⭐⭐)
 + 4 Potion: Instant Health II

Harvest 112 Wheat (⭐)
 + 1 Emerald
 + 1 Iron Chestplate

Harvest 48 Beetroots (⭐⭐)
 + 1 Diamond
 + 1 Iron Pickaxe

Chop 192 Logs (⭐⭐)
 + 1 Diamond

Kill 12 Blazes (⭐⭐⭐⭐)
 + 24 Ender Pearl

Drive 1,2km in a Minecart (⭐⭐⭐⭐)
 + 48 Quartz
 + 1 Iron Helmet: Protection III

Level up 40 times (⭐⭐⭐)
 + 92 Iron Ingot
 + 6 Potion: Regeneration +
 + 1 Crossbow

Kill 44 Piglins (⭐⭐⭐⭐⭐)
 + 1 Netherite Axe: Mending
 + 1 Enchanted Book: Silk Touch

Kill 4 Piglins (⭐⭐⭐)
 + 64 Arrow

Kill 50 Pigs (⭐⭐)
 + 32 Arrow

Eat some Cake (⭐⭐⭐⭐)
 + 1 Bow: Power IV
 + 48 Cooked Porkchop

Mine 16 Diamond Ore (⭐⭐⭐⭐)
 + 1 Diamond Leggings
 + 1 Splash Potion: Luck

Mine 8 Diamond Ore (⭐⭐⭐)
 + 3 Diamond
 + 48 Cooked Mutton

Kill 90 Skeletons (⭐⭐⭐⭐)
 + 1 Netherite Sword

Mine 80 Nether Quartz Ore (⭐⭐⭐)
 + 1 Iron Leggings: Unbreaking III
 + 1 Chainmail Boots: Feather Falling III

Harvest 112 Potatoes (⭐⭐)
 + 1 Enchanted Book: Sharpness II
 + 1 Crossbow
 + 1 Iron Pickaxe

Kill 30 Cows (⭐⭐)
 + 1 Enchanted Book: Thorns III

Mine 224 Coal Ore (⭐⭐)
 + 1 Iron Chestplate: Thorns I

Kill 40 Zombies (⭐⭐)
 + 1 Enchanted Book: Punch I
 + 3 Potion: Invisibility +
 + 1 Iron Axe: Unbreaking III

Harvest 32 Brown Mushrooms (⭐⭐)
 + 1 Iron Axe: Fortune I

Kill 40 Sheep (⭐⭐)
 + 2 Diamond

Mine 160 Coal Ore (⭐⭐)
 + 1 Enchanted Book: Depth Strider I
 + 1 Crossbow

Level up 45 times (⭐⭐⭐⭐)
 + 96 Arrow
 + 1 Enchanted Book: Silk Touch

Kill 110 Creepers (⭐⭐⭐⭐)
 + 48 Quartz
 + 96 Iron Ingot

Chop 32 Logs (⭐)
 + 1 Crossbow

Harvest 48 Kelp (⭐)
 + 1 Chainmail Leggings
 + 1 Iron Boots

Harvest 64 Wheat (⭐)
 + 1 Iron Leggings

Kill 1 Zombie Villager (⭐⭐)
 + 1 Diamond
 + 1 Chainmail Chestplate

Enchant 3 Books (⭐)
 + 6 Potion: Speed
 + 1 Iron Pickaxe

Harvest 10 Chorus Flowers (⭐⭐⭐⭐⭐)
 + 1 Netherite Axe: Efficiency IV

Fish 24 Cod (⭐⭐)
 + 1 Diamond Sword

Find a Ruined Portal (⭐⭐⭐)
 + 1 Iron Chestplate: Unbreaking II

Chop 128 Logs (⭐)
 + 32 Coal

Find a Village (⭐⭐⭐)
 + 96 Coal

Mine 128 Iron Ore (⭐⭐)
 + 1 Enchanted Book: Knockback II

Trade with a Fletcher 12 times (⭐⭐)
 + 1 Enchanted Book: Knockback II

Break 6 Amethyst Clusters (⭐⭐)
 + 48 Iron Ingot
 + 6 Honey Bottle

Kill 50 Spiders (⭐⭐⭐)
 + 1 Iron Chestplate: Thorns III

Trade with a Villager 6 times (⭐⭐)
 + 1 Iron Sword: Fire Aspect I

Kill 7 Magma Cubes (⭐⭐⭐⭐)
 + 96 Iron Ingot
 + 1 Bundle

Travel 7km with a Boat (⭐⭐⭐)
 + 4 Ancient Debris

Enchant a Diamond Axe with Efficiency IV+ (⭐⭐⭐)
 + 6 Diamond

Mine 112 Nether Quartz Ore (⭐⭐⭐⭐)
 + 1 Enchanted Book: Power V

Trade with a Villager 4 times (⭐⭐)
 + 1 Diamond

Kill 40 Sheep (⭐⭐)
 + 1 Iron Sword: Looting II

Harvest 4 Pumpkins (⭐)
 + 1 Potion: Fire Resistance +

Kill 8 Wither Skeletons (⭐⭐⭐⭐⭐)
 + 1 Netherite Sword: Mending

Harvest 32 Carrots (⭐)
 + 1 Crossbow

Kill 80 Skeletons (⭐⭐⭐⭐)
 + 96 Arrow
 + 1 Diamond Boots

Mine 128 Iron Ore (⭐⭐)
 + 8 Slime Ball

Chop 32 Acacia Logs (⭐)
 + 1 Iron Leggings
 + 1 Name Tag

Kill 7 Ghasts (⭐⭐⭐⭐⭐)
 + 1 Netherite Sword: Unbreaking III

Harvest 96 Carrots (⭐⭐)
 + 28 Cooked Beef

Kill 70 Zombies (⭐⭐⭐)
 + 1 Iron Boots: Thorns III

Find a Village (⭐⭐⭐)
 + 2 Ancient Debris
 + 1 Iron Chestplate

Mine 28 Diamond Ore (⭐⭐⭐⭐)
 + 13 Diamond
 + 1 Bow: Punch II

Mine 4 Diamond Ore (⭐⭐)
 + 1 Iron Shovel: Fortune I

Harvest 48 Cocoa Beans (⭐⭐)
 + 5 Emerald

Harvest 80 Sugar Cane (⭐⭐)
 + 1 Music Disc Otherside

Kill 70 Zombies (⭐⭐⭐)
 + 1 Iron Sword: Looting II

Mine 56 Gold Ore (⭐⭐)
 + 1 Enchanted Book: Sharpness I

Harvest 32 Potatoes (⭐)
 + 1 Iron Pickaxe
 + 1 Chainmail Helmet

Mine 112 Iron Ore (⭐⭐)
 + 2 Diamond

Enchant a Crossbow with Quick Charge II+ (⭐⭐⭐)
 + 3 Diamond

Enchant 6 Books (⭐⭐)
 + 44 Cooked Chicken

Mine 28 Diamond Ore (⭐⭐⭐⭐)
 + 1 Enchanted Book: Projectile Protection IV
 + 96 Iron Ingot
 + 96 Coal

Catch 4 fish (⭐)
 + 1 Splash Potion: Speed II

Enchant a Diamond Leggings with Fire Protection II+ (⭐⭐⭐)
 + 1 Crossbow: Unbreaking II
 + 1 Diamond Hoe

Trade with a Mason 12 times (⭐⭐⭐⭐)
 + 1 Diamond Helmet: Unbreaking II

Harvest 48 Wheat (⭐)
 + 8 Flint

Harvest 32 Red Mushrooms (⭐⭐)
 + 5 Splash Potion: Strength II

Chop 160 Logs (⭐⭐)
 + 1 Iron Pickaxe: Efficiency III

Level up 20 times (⭐⭐⭐)
 + 1 Enchanted Book: Thorns III
 + 1 Diamond Sword

Travel 6km with a Boat (⭐⭐⭐)
 + 1 Diamond Helmet

Harvest 48 Wheat (⭐)
 + 1 Emerald

Mine 144 Iron Ore (⭐⭐)
 + 1 Iron Leggings: Thorns II

Harvest 48 Sugar Cane (⭐⭐)
 + 48 Coal

Chop 64 Logs (⭐)
 + 1 Chainmail Chestplate
 + 1 Iron Sword

Chop 64 Logs (⭐)
 + 1 Iron Axe
 + 1 Iron Sword

Mine 64 Gold Ore (⭐⭐)
 + 4 Splash Potion: Regeneration II

Mine 64 Iron Ore (⭐⭐)
 + 1 Iron Axe: Sharpness I

Kill 110 Drowned (⭐⭐⭐⭐)
 + 48 Gold Ingot
 + 1 Iron Boots: Feather Falling II

Mine 20 Diamond Ore (⭐⭐⭐⭐)
 + 1 Diamond Leggings: Blast Protection IV

Mine 16 Gold Ore (⭐)
 + 6 Honey Bottle
 + 1 Iron Helmet

Enchant a Fishing Rod with Lure II+ (⭐⭐)
 + 56 Iron Ingot

Mine 32 Iron Ore (⭐)
 + 8 Iron Ingot
 + 1 Iron Axe

Mine 28 Diamond Ore (⭐⭐⭐⭐)
 + 15 Diamond

Kill 110 Zombies (⭐⭐⭐⭐)
 + 1 Enchanted Book: Smite V

Find a Shipwreck (⭐⭐⭐)
 + 1 Enchanted Golden Apple
 + 52 Iron Ingot

Mine 56 Gold Ore (⭐⭐)
 + 2 Diamond
 + 1 Iron Pickaxe

Trade with a Toolsmith 10 times (⭐⭐⭐)
 + 1 Enchanted Book: Protection IV

Ride 10km on a Horse (⭐⭐⭐⭐⭐)
 + 192 Arrow
 + 1 Enchanted Book: Mending

Ride 300m on a Pig (⭐⭐⭐)
 + 16 Emerald

Mine 32 Nether Quartz Ore (⭐⭐⭐)
 + 1 Iron Sword: Unbreaking II

Enchant a Diamond Pickaxe with Silk Touch (⭐⭐⭐)
 + 1 Enchanted Book: Protection IV

Mine 192 Coal Ore (⭐⭐)
 + 1 Enchanted Book: Unbreaking III

Kill 70 Zombies (⭐⭐⭐)
 + 1 Diamond Sword: Unbreaking II

Mine 48 Lapis Ore (⭐⭐⭐⭐)
 + 1 Iron Hoe: Mending

Enchant a Crossbow (⭐)
 + 3 Potion: Instant Health

Mine 48 Copper Ore (⭐)
 + 40 Coal

Mine 96 Nether Quartz Ore (⭐⭐⭐⭐)
 + 17 Emerald

Mine 64 Iron Ore (⭐⭐)
 + 1 Chainmail Leggings: Blast Protection II
 + 1 Iron Pickaxe

Mine 64 Iron Ore (⭐⭐)
 + 4 Slime Ball

Harvest 32 Sugar Cane (⭐)
 + 1 Splash Potion: Regeneration +

Trade with a Farmer 14 times (⭐⭐⭐)
 + 96 Iron Ingot

Mine 3 Emerald Ore (⭐⭐⭐)
 + 128 Arrow

Kill 30 Pigs (⭐⭐)
 + 1 Iron Sword: Sweeping I

Harvest 16 Sugar Cane (⭐)
 + 16 Coal

Harvest 80 Wheat (⭐)
 + 1 Iron Leggings
 + 1 Chainmail Boots

Harvest 40 Nether Warts (⭐⭐⭐)
 + 128 Arrow

Trade with a Cleric 10 times (⭐⭐⭐⭐)
 + 6 Diamond
 + 1 Enchanted Book: Thorns III

Kill 50 Sheep (⭐⭐)
 + 32 Arrow
 + 1 Crossbow
 + 1 Iron Helmet

Mine 128 Iron Ore (⭐⭐)
 + 1 Chainmail Boots: Feather Falling II

Enchant 6 Books (⭐⭐)
 + 16 Golden Carrot

Mine 80 Gold Ore (⭐⭐)
 + 2 Ancient Debris

Mine 48 Coal Ore (⭐)
 + 1 Iron Pickaxe
 + 1 Chainmail Helmet

Harvest 96 Sugar Cane (⭐⭐)
 + 32 Arrow

Mine 128 Coal Ore (⭐⭐)
 + 1 Enchanted Book: Projectile Protection I

Kill 40 Creepers (⭐⭐⭐)
 + 1 Diamond Sword: Unbreaking I

Mine 64 Gold Ore (⭐⭐)
 + 1 Diamond Sword

Kill 50 Pigs (⭐⭐)
 + 1 Iron Axe: Fortune I

Mine 1 Emerald Ore (⭐⭐)
 + 6 Emerald

Harvest 32 Sugar Cane (⭐)
 + 12 Iron Ingot
 + 1 Iron Pickaxe

Enchant a Diamond Hoe (⭐)
 + 16 Coal
 + 1 Iron Sword

Mine 64 Nether Quartz Ore (⭐⭐⭐)
 + 1 Iron Helmet: Fire Protection IV

Mine 96 Nether Gold Ore (⭐⭐⭐⭐)
 + 48 Gold Ingot

Level up 30 times (⭐⭐⭐)
 + 96 Iron Ingot

Harvest 112 Carrots (⭐⭐)
 + 1 Chainmail Helmet: Unbreaking II
 + 1 Fishing Rod

Harvest 48 Wheat (⭐)
 + 8 Cooked Chicken

Enchant a Bow (⭐)
 + 1 Iron Helmet

Chop 192 Logs (⭐⭐)
 + 1 Iron Sword: Sharpness II

Level up 20 times (⭐⭐⭐)
 + 3 Diamond

Mine 16 Copper Ore (⭐)
 + 1 Potion: Regeneration +

Fish 3 items (⭐⭐)
 + 1 Iron Leggings
 + 1 Crossbow

Harvest 112 Potatoes (⭐⭐)
 + 2 Emerald
 + 6 Honey Bottle
 + 1 Iron Pickaxe

Mine 240 Coal Ore (⭐⭐)
 + 1 Enchanted Book: Smite II

Kill 30 Chickens (⭐⭐)
 + 1 Diamond Hoe

Mine 80 Nether Gold Ore (⭐⭐⭐)
 + 20 Slime Ball

Chop 32 Birch Logs (⭐)
 + 1 Emerald

Harvest 64 Beetroots (⭐⭐)
 + 1 Enchanted Book: Protection I

Mine 24 Gold Ore (⭐⭐)
 + 2 Emerald

Kill 4 Endermen (⭐⭐⭐)
 + 12 Slime Ball

Kill 40 Pigs (⭐⭐)
 + 1 Chainmail Chestplate: Unbreaking II

Enchant 5 Books (⭐⭐)
 + 1 Iron Sword: Sharpness I

Kill 8 Phantoms (⭐⭐)
 + 32 Arrow
 + 28 Iron Ingot

Enchant a Diamond Leggings (⭐⭐)
 + 1 Chainmail Leggings: Fire Protection III

Harvest 48 Potatoes (⭐)
 + 1 Iron Chestplate
 + 1 Iron Sword

Mine 8 Diamond Ore (⭐⭐⭐)
 + 12 Ender Pearl
 + 6 Potion: Instant Health

Enchant a Fishing Rod with Luck Of The Sea I+ (⭐⭐)
 + 1 Enchanted Book: Fire Protection IV

Harvest 32 Beetroots (⭐)
 + 1 Emerald

Harvest 48 Kelp (⭐)
 + 4 Golden Carrot
 + 1 Iron Pickaxe

Find a Shipwreck (⭐⭐⭐)
 + 1 Enchanted Book: Thorns III
 + 6 Splash Potion: Slow Falling +

Mine 8 Lapis Ore (⭐⭐)
 + 32 Arrow

Harvest 64 Carrots (⭐)
 + 2 Potion: Regeneration +

Kill 110 Drowned (⭐⭐⭐⭐)
 + 1 Enchanted Book: Power V
 + 96 Arrow

Mine 176 Coal Ore (⭐⭐)
 + 36 Cooked Chicken
 + 1 Iron Boots
 + 1 Iron Axe

Fish 14 Salmon (⭐⭐)
 + 1 Enchanted Book: Power III

Mine 32 Iron Ore (⭐)
 + 1 Chainmail Leggings
 + 1 Iron Pickaxe

Kill 6 Squids (⭐)
 + 1 Iron Chestplate

Chop 160 Logs (⭐⭐)
 + 20 Iron Ingot

Harvest 4 Pumpkins (⭐)
 + 1 Iron Helmet

Harvest 96 Sugar Cane (⭐⭐)
 + 48 Iron Ingot
 + 1 Fishing Rod

Enchant a Diamond Hoe (⭐)
 + 1 Compass

Trade with a Villager 12 times (⭐⭐⭐)
 + 1 Diamond Axe: Unbreaking II

Mine 112 Coal Ore (⭐⭐)
 + 12 Iron Ingot
 + 1 Iron Boots
 + 1 Iron Pickaxe
 + 1 Iron Sword

Harvest 96 Sugar Cane (⭐⭐)
 + 1 Chainmail Helmet: Fire Protection II

Find a Village (⭐⭐⭐)
 + 36 Gold Ingot

Mine 64 Iron Ore (⭐⭐)
 + 1 Diamond

Kill 60 Skeletons (⭐⭐⭐)
 + 1 Enchanted Book: Sweeping III

Harvest 10 Chorus Flowers (⭐⭐⭐⭐⭐)
 + 6 Sea Lantern
 + 48 Quartz

Kill 80 Zombies (⭐⭐⭐)
 + 1 Diamond Boots

Kill 40 Creepers (⭐⭐⭐)
 + 1 Iron Sword: Unbreaking II
 + 48 Cooked Chicken

Level up 25 times (⭐⭐⭐)
 + 1 Iron Hoe: Efficiency IV

Level up 35 times (⭐⭐⭐)
 + 6 Splash Potion: Water Breathing +
 + 28 Gold Ingot
 + 6 Honey Bottle

Enchant a Diamond Axe with Unbreaking II+ (⭐⭐⭐)
 + 1 Diamond Pickaxe

Harvest 4 Chorus Flowers (⭐⭐⭐⭐)
 + 1 Diamond Sword: Sharpness IV

Trade with a Villager 6 times (⭐⭐)
 + 1 Enchanted Book: Power III
 + 1 Spyglass

Kill 6 Endermen (⭐⭐⭐)
 + 1 Enchanted Book: Lure III
 + 1 Diamond Sword

Ride 2km on a Horse (⭐⭐⭐⭐)
 + 3 Enchanted Golden Apple

Trade with a Fletcher 14 times (⭐⭐)
 + 1 Iron Pickaxe: Unbreaking II

Enchant 3 Books (⭐)
 + 5 Potion: Speed II

Trade with a Butcher 12 times (⭐⭐⭐⭐)
 + 96 Iron Ingot

Kill 20 Sheep (⭐⭐)
 + 4 Splash Potion: Jump Boost

Find a Village (⭐⭐⭐)
 + 8 Slime Ball
 + 1 Bundle

Mine 8 Diamond Ore (⭐⭐⭐)
 + 96 Coal
 + 3 Splash Potion: Night Vision +

Harvest 96 Wheat (⭐)
 + 32 Coal

Mine 16 Diamond Ore (⭐⭐⭐⭐)
 + 1 Enchanted Book: Fortune III
 + 1 Enchanted Book: Respiration III

Chop 32 Logs (⭐)
 + 1 Enchanted Book: Luck Of The Sea II
 + 1 Iron Hoe

Kill 50 Skeletons (⭐⭐⭐)
 + 1 Diamond Pickaxe
 + 6 Potion: Strength II

Chop 64 Spruce Logs (⭐⭐)
 + 1 Spyglass

Mine 160 Coal Ore (⭐⭐)
 + 16 Iron Ingot
 + 1 Iron Chestplate
 + 1 Iron Boots

Harvest 16 Cacti (⭐)
 + 1 Fishing Rod: Luck Of The Sea I
 + 1 Iron Sword
 + 1 Iron Hoe

Mine 64 Iron Ore (⭐⭐)
 + 6 Potion: Speed II
 + 1 Iron Boots

Kill 50 Pigs (⭐⭐)
 + 1 Crossbow: Quick Charge I
 + 1 Iron Chestplate

Trade with a Butcher 6 times (⭐⭐⭐)
 + 1 Iron Chestplate: Blast Protection III

Enchant 5 Books (⭐⭐)
 + 1 Chainmail Boots: Thorns II

Win a Raid (⭐⭐⭐⭐⭐⭐)
 + 1 Diamond Leggings: Unbreaking III
 + 1 Netherite Pickaxe
 + 12 Glow Ink Sac

Harvest 96 Kelp (⭐)
 + 16 Iron Ingot

Harvest 112 Carrots (⭐⭐)
 + 32 Iron Ingot

Chop 32 Logs (⭐)
 + 4 Cooked Beef
 + 1 Iron Hoe

Chop 96 Logs (⭐)
 + 16 Coal
 + 1 Iron Sword

Mine 20 Diamond Ore (⭐⭐⭐⭐)
 + 1 Chainmail Chestplate: Mending

Trade with a Fisherman 8 times (⭐⭐⭐)
 + 1 Diamond Pickaxe: Unbreaking II

Harvest 112 Sugar Cane (⭐⭐)
 + 60 Iron Ingot

Chop 64 Spruce Logs (⭐⭐)
 + 8 Gold Ingot

Kill 100 Skeletons (⭐⭐⭐⭐)
 + 20 Emerald
 + 6 Splash Potion: Instant Health II

Mine 16 Redstone Ore (⭐⭐)
 + 1 Music Disc Pigstep

Kill 100 Zombies (⭐⭐⭐)
 + 1 Enchanted Book: Fortune III

Mine 40 Lapis Ore (⭐⭐⭐⭐)
 + 96 Iron Ingot

Kill 50 Chickens (⭐⭐)
 + 1 Enchanted Book: Fortune I

Mine 96 Nether Quartz Ore (⭐⭐⭐⭐)
 + 1 Iron Sword: Mending

Mine 80 Coal Ore (⭐)
 + 32 Coal

Kill 70 Spiders (⭐⭐⭐)
 + 1 Diamond Axe: Sharpness I

Ride 500m on a Pig (⭐⭐⭐⭐)
 + 1 Enchanted Book: Power V
 + 6 Potion: Strength +

Mine 48 Iron Ore (⭐)
 + 12 Cooked Chicken
 + 1 Iron Chestplate

Kill 110 Zombies (⭐⭐⭐⭐)
 + 1 Diamond Axe: Sharpness I
 + 1 Crossbow: Quick Charge III

Fish 4 Cod (⭐)
 + 1 Potion: Fire Resistance

Mine 16 Gold Ore (⭐)
 + 24 Coal
 + 1 Fishing Rod

Mine 128 Coal Ore (⭐⭐)
 + 1 Enchanted Book: Sharpness II

Mine 32 Lapis Ore (⭐⭐⭐)
 + 96 Iron Ingot

Mine 208 Coal Ore (⭐⭐)
 + 20 Golden Carrot

Mine 240 Coal Ore (⭐⭐)
 + 88 Coal

Find a Village (⭐⭐⭐)
 + 64 Arrow

Find a Village (⭐⭐⭐)
 + 1 Diamond Pickaxe

Trade with a Leatherworker 14 times (⭐⭐⭐⭐)
 + 1 Diamond Pickaxe: Efficiency II
 + 6 Potion: Strength +

Harvest 32 Potatoes (⭐)
 + 1 Enchanted Book: Luck Of The Sea III
 + 1 Iron Boots

Kill 30 Pigs (⭐⭐)
 + 1 Diamond

Trade with a Butcher 12 times (⭐⭐⭐⭐)
 + 8 Diamond

Harvest 64 Wheat (⭐)
 + 8 Cooked Beef
 + 1 Iron Pickaxe

Trade with a Shepherd 2 times (⭐⭐)
 + 1 Enchanted Book: Power II

Mine 112 Iron Ore (⭐⭐)
 + 1 Iron Axe: Sharpness II

Mine 48 Gold Ore (⭐⭐)
 + 6 Potion: Fire Resistance

Trade with a Villager 12 times (⭐⭐⭐)
 + 1 Chainmail Chestplate: Unbreaking II

Mine 72 Gold Ore (⭐⭐)
 + 24 Quartz

Harvest 80 Beetroots (⭐⭐)
 + 3 Splash Potion: Regeneration

Run 12,5km (⭐⭐⭐⭐⭐)
 + 1 Enchanted Book: Fire Aspect II
 + 48 Cooked Beef
 + 1 Enchanted Book: Luck Of The Sea III
 + 1 Music Disc Cat

Mine 48 Nether Quartz Ore (⭐⭐⭐)
 + 1 Enchanted Book: Multishot
 + 4 Blaze Rod

Mine 64 Gold Ore (⭐⭐)
 + 1 Iron Hoe: Fortune II
 + 1 Iron Helmet

Mine 64 Iron Ore (⭐⭐)
 + 24 Iron Ingot

Harvest 80 Wheat (⭐)
 + 1 Potion: Invisibility
 + 1 Iron Sword
 + 1 Iron Shovel

Chop 224 Logs (⭐⭐)
 + 12 Gold Ingot

Catch 16 fish (⭐⭐)
 + 1 Diamond

Kill 40 Chickens (⭐⭐)
