Material counts for Quest Type:
TotalQuests: 2000

Quest Type: FIND_STRUCTURE
- OCEAN_RUIN           count: 6             4,76 %    (5,94 % expected)
 + 4 Splash Potion: Jump Boost +

Mine 144 Iron Ore (⭐⭐)
 + 2 Diamond

Harvest 96 Wheat (⭐)
 + 4 Gold Ingot
 + 1 Iron Leggings

Chop 96 Logs (⭐)
 + 1 Iron Boots
 + 1 Iron Sword
 + 1 Iron Hoe

Harvest 112 Carrots (⭐⭐)
 + 5 Potion: Strength II

Chop 96 Spruce Logs (⭐⭐)
 + 40 Cooked Chicken

Harvest 48 Potatoes (⭐)
 + 4 Book
 + 1 Iron Boots
 + 1 Iron Sword

Kill 4 Phantoms (⭐⭐)
 + 80 Coal

Mine 48 Copper Ore (⭐)
 + 1 Diamond

Mine 32 Redstone Ore (⭐⭐)
 + 1 Chainmail Helmet: Unbreaking II

Reach level 20 (⭐⭐)
 + 28 Iron Ingot

Kill 60 Zombies (⭐⭐⭐)
 + 1 Enchanted Book: Punch II
 + 3 Splash Potion: Invisibility +

Harvest 48 Carrots (⭐)
 + 12 Iron Ingot

Enchant a Diamond Shovel with Efficiency IV+ (⭐⭐)
 + 1 Bow: Unbreaking I
 + 1 Iron Boots

Harvest 32 Red Mushrooms (⭐⭐)
 + 6 Splash Potion: Jump Boost II

Harvest 16 Kelp (⭐)
 + 1 Chainmail Chestplate
 + 1 Iron Shovel

Catch 12 fish (⭐)
 + 1 Diamond

Mine 28 Diamond Ore (⭐⭐⭐⭐)
 + 1 Enchanted Book: Mending
 + 9 Amethyst Shard

Mine 176 Coal Ore (⭐⭐)
 + 1 Chainmail Boots: Thorns I

Chop 32 Logs (⭐)
 + 1 Chainmail Chestplate

Trade with a Cleric 12 times (⭐⭐⭐⭐)
 + 1 Enchanted Book: Protection IV
 + 1 Enchanted Book: Projectile Protection IV

Fish 2 Salmon (⭐)
 + 3 Chorus Fruit

Find a Shipwreck (⭐⭐⭐)
 + 1 Enchanted Book: Sweeping III

Harvest 80 Sugar Cane (⭐⭐)
 + 2 Diamond

Chop 32 Spruce Logs (⭐)
 + 6 Potion: Speed

Kill 50 Cows (⭐⭐)
 + 1 Enchanted Book: Power V

Chop 192 Logs (⭐⭐)
 + 1 Chainmail Leggings: Thorns I

Kill 50 Pigs (⭐⭐)
 + 1 Bow: Unbreaking II

Kill 30 Cows (⭐⭐)
 + 1 Iron Hoe: Efficiency I

Kill 40 Sheep (⭐⭐)
 + 32 Arrow

Kill 40 Zombies (⭐⭐)
 + 1 Ancient Debris

Chop 192 Logs (⭐⭐)
 + 16 Flint

Harvest 112 Beetroots (⭐⭐)
 + 1 Iron Shovel: Unbreaking I
 + 1 Iron Leggings
 + 1 Iron Pickaxe

Harvest 112 Sweet Berries (⭐⭐)
 + 1 Fishing Rod: Lure III

Reach level 30 (⭐⭐⭐)
 + 1 Music Disc Mall
 + 1 Crossbow: Piercing II

Chop 128 Logs (⭐)
 + 8 Copper Ingot
 + 1 Iron Leggings

Catch 4 fish (⭐)
 + 4 Book

Enchant a Diamond Shovel with Efficiency IV+ (⭐⭐)
 + 1 Iron Sword: Unbreaking II

Trade with a Villager 12 times (⭐⭐⭐)
 + 1 Iron Chestplate: Thorns II

Reach level 45 (⭐⭐⭐⭐)
 + 24 Emerald

Chop 64 Logs (⭐)
 + 1 Chainmail Chestplate
 + 1 Iron Boots

Harvest 96 Wheat (⭐)
 + 1 Iron Leggings
 + 1 Iron Boots

Mine 144 Iron Ore (⭐⭐)
 + 1 Enchanted Book: Thorns II

Harvest 80 Potatoes (⭐⭐)
 + 3 Splash Potion: Fire Resistance

Mine 32 Gold Ore (⭐⭐)
 + 4 Sponge

Trade with a Fisherman 6 times (⭐⭐⭐)
 + 24 Book

Mine 160 Coal Ore (⭐⭐)
 + 1 Enchanted Book: Soul Speed II

Harvest 112 Potatoes (⭐⭐)
 + 3 Emerald

Mine 8 Diamond Ore (⭐⭐⭐)
 + 6 Splash Potion: Strength
 + 1 Crossbow: Piercing III

Kill 10 Chickens (⭐)
 + 1 Bow
 + 1 Iron Hoe
 + 1 Iron Sword

Mine 8 Ancient Debris (⭐⭐⭐⭐⭐)
 + 17 Diamond

Harvest 80 Sugar Cane (⭐⭐)
 + 1 Enchanted Book: Feather Falling IV

Harvest 48 Kelp (⭐)
 + 8 Iron Ingot

Chop 32 Dark Oak Logs (⭐)
 + 1 Iron Helmet
 + 1 Chainmail Leggings
 + 1 Iron Sword

Kill 50 Pigs (⭐⭐)
 + 2 Diamond

Chop 32 Logs (⭐)
 + 1 Chainmail Helmet

Reach level 30 (⭐⭐⭐)
 + 24 Firework Rocket

Mine 144 Coal Ore (⭐⭐)
 + 1 Chainmail Chestplate: Projectile Protection II

Chop 96 Logs (⭐)
 + 4 Book
 + 1 Iron Pickaxe

Mine 32 Nether Gold Ore (⭐⭐⭐)
 + 4 Blaze Rod

Kill 50 Zombies (⭐⭐⭐)
 + 68 Iron Ingot

Harvest 24 Melon Slices (⭐)
 + 8 Golden Carrot

Trade with a Librarian 14 times (⭐⭐⭐⭐)
 + 1 Enchanted Book: Protection IV
 + 24 Book

Enchant 8 Books (⭐⭐)
 + 1 Diamond Sword

Break 6 Amethyst Clusters (⭐⭐)
 + 1 Enchanted Book: Sweeping III

Enchant 6 Books (⭐⭐)
 + 8 Book

Chop 192 Logs (⭐⭐)
 + 1 Enchanted Book: Sharpness IV
 + 1 Bow
 + 1 Iron Pickaxe
 + 1 Iron Sword

Mine 88 Gold Ore (⭐⭐⭐)
 + 64 Arrow

Kill 70 Creepers (⭐⭐⭐⭐)
 + 8 Diamond

Swim 600m (⭐⭐)
 + 44 Copper Ingot

Mine 48 Copper Ore (⭐)
 + 1 Iron Shovel: Efficiency II

Kill 40 Zombies (⭐⭐)
 + 3 Diamond

Kill 90 Drowned (⭐⭐⭐⭐)
 + 1 Enchanted Book: Sharpness V
 + 48 Cooked Mutton

Find a Nether Fortress (⭐⭐⭐⭐)
 + 1 Iron Shovel: Mending
 + 3 Splash Potion: Night Vision +

Kill 50 Chickens (⭐⭐)
 + 32 Arrow
 + 6 Honey Bottle

Swim 1,7km (⭐⭐⭐)
 + 1 Enchanted Book: Soul Speed III

Find a Shipwreck (⭐⭐⭐)
 + 96 Arrow
 + 1 Jukebox

Mine 48 Copper Ore (⭐)
 + 4 Book

Find a Ruined Portal (⭐⭐⭐)
 + 6 Splash Potion: Jump Boost +
 + 1 Ancient Debris

Mine 80 Nether Gold Ore (⭐⭐⭐)
 + 48 Gold Ingot

Kill 100 Zombies (⭐⭐⭐)
 + 1 Diamond Boots: Feather Falling III

Kill 30 Sheep (⭐⭐)
 + 2 Amethyst Shard

Chop 64 Logs (⭐)
 + 1 Iron Leggings

Harvest 16 Carrots (⭐)
 + 1 Iron Pickaxe

Harvest 16 Nether Warts (⭐⭐)
 + 3 Diamond

Kill 20 Pigs (⭐⭐)
 + 1 Enchanted Book: Piercing III

Chop 64 Acacia Logs (⭐⭐)
 + 1 Diamond
 + 1 Iron Sword

Find a Village (⭐⭐⭐)
 + 1 Enchanted Book: Protection III

Trade with a Villager 2 times (⭐)
 + 8 Firework Rocket

Chop 64 Acacia Logs (⭐⭐)
 + 3 Splash Potion: Slow Falling

Kill 110 Skeletons (⭐⭐⭐⭐)
 + 192 Arrow

Mine 128 Iron Ore (⭐⭐)
 + 5 Emerald

Harvest 16 Sea Pickles (⭐⭐⭐)
 + 1 Enchanted Book: Unbreaking III
 + 1 Bow: Flame
 + 3 Potion: Night Vision

Mine 32 Iron Ore (⭐)
 + 8 Iron Ingot
 + 1 Iron Boots

Travel 7km with a Boat (⭐⭐⭐)
 + 1 Diamond Leggings

Harvest 48 Sugar Cane (⭐⭐)
 + 4 Ender Pearl
 + 1 Bow

Chop 96 Logs (⭐)
 + 1 Potion: Fire Resistance
 + 1 Iron Boots
 + 1 Iron Sword

Chop 64 Oak Logs (⭐⭐)
 + 1 Diamond

Trade with a Villager 4 times (⭐⭐)
 + 1 Bow: Unbreaking II

Kill 20 Sheep (⭐⭐)
 + 1 Iron Pickaxe: Efficiency II

Trade with a Armorer 10 times (⭐⭐⭐)
 + 1 Netherite Ingot

Harvest 64 Wheat (⭐)
 + 1 Emerald
 + 1 Bow

Enchant a Diamond Sword (⭐)
 + 2 Splash Potion: Night Vision +

Mine 8 Diamond Ore (⭐⭐⭐)
 + 1 Enchanted Book: Looting III
 + 48 Cooked Beef

Kill 90 Spiders (⭐⭐⭐)
 + 96 Coal
 + 1 Iron Sword: Fire Aspect I

Chop 32 Birch Logs (⭐)
 + 4 Golden Carrot

Break 6 Amethyst Clusters (⭐⭐)
 + 32 Arrow

Mine 12 Diamond Ore (⭐⭐⭐)
 + 16 Ender Pearl
 + 1 Jukebox

Level up 30 times (⭐⭐⭐)
 + 96 Iron Ingot
 + 6 Honey Bottle

Chop 32 Logs (⭐)
 + 1 Chainmail Leggings

Enchant 6 Books (⭐⭐)
 + 1 Iron Pickaxe: Efficiency III

Chop 224 Logs (⭐⭐)
 + 16 Flint

Harvest 80 Beetroots (⭐⭐)
 + 28 Cooked Porkchop
 + 1 Bow

Kill 70 Skeletons (⭐⭐⭐⭐)
 + 8 Diamond

Chop 192 Logs (⭐⭐)
 + 6 Chorus Fruit
 + 2 Saddle

Mine 24 Gold Ore (⭐⭐)
 + 1 Diamond

Find an Igloo (⭐⭐⭐⭐)
 + 1 Netherite Ingot
 + 1 Enchanted Book: Sweeping III

Trade with a Cartographer 14 times (⭐⭐⭐⭐)
 + 48 Gold Ingot
 + 12 Glow Ink Sac

Travel 5km with a Boat (⭐⭐⭐)
 + 1 Enchanted Book: Power V

Level up 20 times (⭐⭐⭐)
 + 1 Enchanted Golden Apple

Kill 30 Chickens (⭐⭐)
 + 6 Glow Ink Sac

Find a Nether Fortress (⭐⭐⭐⭐)
 + 48 Gold Ingot
 + 48 Cooked Porkchop

Harvest 16 Cacti (⭐)
 + 1 Chainmail Chestplate
 + 1 Iron Pickaxe

Mine 96 Iron Ore (⭐⭐)
 + 1 Iron Pickaxe: Efficiency II

Kill 20 Chickens (⭐⭐)
 + 1 Diamond Shovel
 + 1 Iron Pickaxe
 + 1 Iron Sword

Enchant a Diamond Pickaxe (⭐)
 + 1 Splash Potion: Regeneration II

Mine 8 Lapis Ore (⭐⭐)
 + 1 Chainmail Chestplate: Thorns I
 + 1 Iron Leggings

Kill 70 Spiders (⭐⭐⭐)
 + 1 Diamond Shovel: Unbreaking III

Trade with a Shepherd 14 times (⭐⭐⭐⭐)
 + 9 Diamond

Harvest 64 Carrots (⭐)
 + 16 Iron Ingot

Catch 28 fish (⭐⭐)
 + 4 Splash Potion: Water Breathing
 + 1 Iron Pickaxe

Mine 48 Iron Ore (⭐)
 + 3 Potion: Fire Resistance

Kill 80 Drowned (⭐⭐⭐⭐)
 + 96 Copper Ingot
 + 6 Splash Potion: Strength +

Mine 32 Copper Ore (⭐)
 + 12 Copper Ingot

Mine 24 Lapis Ore (⭐⭐⭐)
 + 1 Diamond Pickaxe: Silk Touch

Find a Shipwreck (⭐⭐⭐)
 + 4 Diamond
 + 1 Music Disc Blocks

Chop 128 Logs (⭐)
 + 3 Splash Potion: Speed +

Trade with a Armorer 4 times (⭐⭐)
 + 1 Enchanted Book: Feather Falling II

Mine 64 Gold Ore (⭐⭐)
 + 32 Arrow

Enchant a Diamond Axe with Efficiency II+ (⭐⭐)
 + 3 Diamond

Enchant a Diamond Sword with Sharpness III+ (⭐⭐⭐)
 + 7 Emerald

Mine 56 Gold Ore (⭐⭐)
 + 1 Iron Pickaxe: Silk Touch

Enchant 6 Books (⭐⭐)
 + 1 Crossbow: Quick Charge II

Enchant 2 Books (⭐)
 + 1 Iron Leggings
 + 1 Iron Shovel

Find a Village (⭐⭐⭐)
 + 4 Diamond

Harvest 16 Cacti (⭐)
 + 1 Enchanted Book: Luck Of The Sea I

Kill 50 Chickens (⭐⭐)
 + 1 Diamond Pickaxe

Mine 32 Iron Ore (⭐)
 + 1 Emerald

Reach level 45 (⭐⭐⭐⭐)
 + 10 Amethyst Shard
 + 1 Enchanted Book: Quick Charge III

Kill 100 Drowned (⭐⭐⭐⭐)
 + 1 Enchanted Book: Mending
 + 48 Cooked Beef

Ride 13km on a Horse (⭐⭐⭐⭐⭐)
 + 21 Diamond
 + 96 Copper Ingot

Harvest 32 Sugar Cane (⭐)
 + 1 Emerald
 + 1 Crossbow

Mine 80 Nether Gold Ore (⭐⭐⭐)
 + 1 Enchanted Book: Projectile Protection IV

Catch 20 fish (⭐⭐)
 + 4 Potion: Regeneration +

Reach level 25 (⭐⭐)
 + 40 Iron Ingot
 + 1 Iron Leggings

Mine 36 Diamond Ore (⭐⭐⭐⭐⭐)
 + 1 Netherite Leggings

Mine 208 Coal Ore (⭐⭐)
 + 1 Diamond
 + 1 Crossbow

Mine 48 Copper Ore (⭐)
 + 24 Coal
 + 1 Iron Chestplate

Harvest 8 Nether Warts (⭐⭐)
 + 4 Ender Pearl

Harvest 80 Wheat (⭐)
 + 6 Chorus Fruit

Run 12,5km (⭐⭐⭐⭐⭐)
 + 1 Netherite Pickaxe: Efficiency V

Harvest 112 Sweet Berries (⭐⭐)
 + 1 Enchanted Book: Protection III

Trade with a Villager 8 times (⭐⭐)
 + 1 Enchanted Book: Unbreaking II

Mine 224 Coal Ore (⭐⭐)
 + 40 Iron Ingot

Run 2,5km (⭐⭐⭐)
 + 1 Enchanted Book: Respiration III
 + 1 Jukebox

Mine 112 Nether Quartz Ore (⭐⭐⭐⭐)
 + 10 Diamond

Kill 40 Sheep (⭐⭐)
 + 32 Arrow

Mine 176 Coal Ore (⭐⭐)
 + 1 Chainmail Boots: Thorns II

Find a Bastion Remnant (⭐⭐⭐⭐)
 + 16 Blaze Rod

Trade with a Cleric 6 times (⭐⭐⭐)
 + 1 Iron Boots: Fire Protection IV

Harvest 48 Nether Warts (⭐⭐⭐⭐)
 + 96 Iron Ingot

Harvest 48 Beetroots (⭐⭐)
 + 8 Gold Ingot

Kill 20 Cows (⭐⭐)
 + 40 Coal
 + 1 Iron Hoe

Enchant 2 Books (⭐)
 + 1 Iron Leggings

Enchant 3 Books (⭐)
 + 1 Splash Potion: Invisibility +

Chop 224 Logs (⭐⭐)
 + 1 Music Disc Far

Kill 4 Witches (⭐⭐⭐⭐)
 + 1 Netherite Boots

Harvest 64 Potatoes (⭐)
 + 1 Iron Helmet
 + 1 Bow
 + 1 Iron Pickaxe

Harvest 112 Sweet Berries (⭐⭐)
 + 1 Chainmail Helmet: Projectile Protection II

Catch 12 fish (⭐)
 + 1 Sea Lantern

Reach level 30 (⭐⭐⭐)
 + 12 Slime Ball

Kill 60 Drowned (⭐⭐⭐)
 + 96 Arrow
 + 6 Potion: Jump Boost

Chop 32 Logs (⭐)
 + 4 Cooked Beef

Chop 96 Logs (⭐)
 + 1 Iron Leggings

Level up 40 times (⭐⭐⭐)
 + 24 Slime Ball

Chop 96 Spruce Logs (⭐⭐)
 + 1 Enchanted Book: Aqua Affinity

Enchant 9 Books (⭐⭐)
 + 2 Diamond

Enchant a Diamond Axe with Silk Touch (⭐⭐⭐)
 + 128 Arrow

Mine 64 Iron Ore (⭐⭐)
 + 1 Iron Pickaxe: Unbreaking I

Reach level 25 (⭐⭐)
 + 4 Blaze Rod
 + 1 Compass

Mine 3 Emerald Ore (⭐⭐⭐)
 + 96 Copper Ingot

Kill 4 Blazes (⭐⭐⭐⭐)
 + 24 Book
 + 1 Iron Sword: Unbreaking I

Mine 112 Nether Quartz Ore (⭐⭐⭐⭐)
 + 24 Slime Ball

Kill 80 Creepers (⭐⭐⭐⭐)
 + 1 Diamond Pickaxe: Silk Touch
 + 1 Chainmail Leggings: Thorns I

Kill 110 Spiders (⭐⭐⭐⭐)
 + 1 Enchanted Book: Power V

Harvest 64 Beetroots (⭐⭐)
 + 1 Bow: Power II

Mine 16 Gold Ore (⭐)
 + 12 Cooked Mutton
 + 1 Iron Helmet

Mine 32 Diamond Ore (⭐⭐⭐⭐)
 + 16 Blaze Rod
 + 96 Copper Ingot

Harvest 16 Cocoa Beans (⭐)
 + 1 Iron Chestplate
 + 1 Splash Potion: Strength

Harvest 32 Beetroots (⭐)
 + 1 Bow
 + 1 Chainmail Chestplate
 + 1 Iron Sword

Find a Desert Pyramid (⭐⭐⭐)
 + 64 Arrow
 + 1 Diamond Pickaxe

Chop 192 Logs (⭐⭐)
 + 1 Iron Sword: Sharpness IV

Enchant 5 Books (⭐⭐)
 + 2 Splash Potion: Water Breathing +

Chop 96 Logs (⭐)
 + 1 Ghast Tear

Mine 32 Copper Ore (⭐)
 + 8 Iron Ingot
 + 1 Iron Helmet
 + 1 Iron Shovel

Mine 80 Iron Ore (⭐⭐)
 + 56 Coal

Chop 32 Jungle Logs (⭐)
 + 4 Book
 + 1 Bow
 + 1 Iron Sword

Mine 28 Diamond Ore (⭐⭐⭐⭐)
 + 13 Diamond
 + 6 Potion: Regeneration

Mine 176 Coal Ore (⭐⭐)
 + 8 Gold Ingot
 + 6 Potion: Instant Health

Chop 64 Logs (⭐)
 + 1 Emerald

Mine 48 Nether Gold Ore (⭐⭐⭐)
 + 5 Diamond

Find an Ocean Monument (⭐⭐⭐⭐)
 + 1 Diamond Hoe: Efficiency IV

Ride 600m on a Pig (⭐⭐⭐⭐)
 + 1 Enchanted Book: Unbreaking II
 + 1 Enchanted Book: Multishot
 + 1 Diamond Sword

Harvest 32 Cocoa Beans (⭐⭐)
 + 1 Diamond
 + 1 Iron Pickaxe

Mine 2 Emerald Ore (⭐⭐⭐)
 + 68 Iron Ingot
 + 6 Splash Potion: Strength

Reach level 45 (⭐⭐⭐⭐)
 + 1 Diamond Chestplate
 + 1 Jukebox

Fish 2 items (⭐)
 + 32 Coal

Mine 80 Coal Ore (⭐)
 + 20 Cooked Mutton

Reach level 40 (⭐⭐⭐⭐)
 + 1 Enchanted Book: Mending
 + 96 Coal

Kill 80 Spiders (⭐⭐⭐)
 + 48 Cooked Beef
 + 1 Chainmail Helmet: Aqua Affinity

Find a Desert Pyramid (⭐⭐⭐)
 + 1 Chainmail Leggings: Mending

Trade with a Butcher 14 times (⭐⭐⭐⭐)
 + 96 Iron Ingot
 + 6 Splash Potion: Regeneration

Harvest 16 Sugar Cane (⭐)
 + 1 Crossbow

Enchant a Diamond Boots with Feather Falling III+ (⭐⭐⭐)
 + 128 Arrow

Enchant 6 Books (⭐⭐)
 + 32 Copper Ingot
 + 1 Iron Pickaxe

Harvest 96 Kelp (⭐)
 + 4 Book

Harvest 80 Sweet Berries (⭐⭐)
 + 8 Book

Enchant a Diamond Helmet with Respiration I+ (⭐⭐)
 + 1 Bundle
 + 4 Ender Pearl

Mine 48 Coal Ore (⭐)
 + 8 Coal
 + 1 Iron Sword
 + 1 Iron Shovel

Enchant 4 Books (⭐⭐)
 + 4 Slime Ball

Chop 96 Oak Logs (⭐⭐)
 + 1 Chainmail Helmet: Aqua Affinity

Mine 80 Redstone Ore (⭐⭐⭐)
 + 96 Coal
 + 6 Splash Potion: Jump Boost II

Harvest 80 Wheat (⭐)
 + 4 Gold Ingot

Enchant 6 Books (⭐⭐)
 + 1 Chainmail Leggings: Unbreaking II

Reach level 25 (⭐⭐)
 + 1 Iron Sword: Looting I

Harvest 16 Carrots (⭐)
 + 4 Iron Ingot

Mine 32 Diamond Ore (⭐⭐⭐⭐)
 + 24 Ender Pearl
 + 1 Chainmail Chestplate: Blast Protection II

Mine 32 Copper Ore (⭐)
 + 8 Flint

Enchant a Diamond Axe with Unbreaking I+ (⭐⭐)
 + 32 Arrow

Enchant 8 Books (⭐⭐)
 + 32 Arrow

Chop 64 Acacia Logs (⭐⭐)
 + 1 Diamond

Kill 60 Skeletons (⭐⭐⭐)
 + 1 Diamond Shovel: Unbreaking III

Enchant a Diamond Axe with Bane Of Arthropods III+ (⭐⭐⭐)
 + 1 Diamond Boots

Chop 96 Logs (⭐)
 + 3 Splash Potion: Speed

Harvest 40 Pumpkins (⭐⭐)
 + 1 Iron Shovel: Fortune II

Chop 64 Oak Logs (⭐⭐)
 + 1 Fishing Rod: Luck Of The Sea II

Trade with a Villager 8 times (⭐⭐)
 + 1 Iron Sword: Unbreaking II

Kill 60 Creepers (⭐⭐⭐)
 + 96 Arrow
 + 1 Bow: Flame

Mine 48 Copper Ore (⭐)
 + 3 Splash Potion: Speed II

Chop 64 Logs (⭐)
 + 1 Ghast Tear

Mine 16 Nether Gold Ore (⭐⭐)
 + 1 Diamond Sword

Harvest 112 Wheat (⭐)
 + 3 Splash Potion: Speed II

Kill 10 Ghasts (⭐⭐⭐⭐⭐)
 + 1 Netherite Hoe: Mending

Mine 16 Nether Gold Ore (⭐⭐)
 + 3 Name Tag
 + 1 Jukebox

Level up 45 times (⭐⭐⭐⭐)
 + 1 Enchanted Book: Fire Protection IV

Kill 90 Spiders (⭐⭐⭐)
 + 1 Enchanted Book: Power V

Mine 96 Coal Ore (⭐)
 + 16 Iron Ingot

Mine 96 Iron Ore (⭐⭐)
 + 1 Enchanted Book: Feather Falling III
 + 1 Jukebox

Chop 96 Oak Logs (⭐⭐)
 + 1 Diamond

Find a Ruined Portal (⭐⭐⭐)
 + 1 Chainmail Chestplate: Protection III

Chop 64 Birch Logs (⭐⭐)
 + 1 Diamond

Mine 240 Coal Ore (⭐⭐)
 + 1 Diamond Sword

Chop 64 Birch Logs (⭐⭐)
 + 1 Iron Pickaxe: Efficiency IV

Kill 20 Pigs (⭐⭐)
 + 8 Flint

Kill 40 Chickens (⭐⭐)
 + 4 Ender Pearl

Chop 32 Jungle Logs (⭐)
 + 4 Book

Mine 56 Gold Ore (⭐⭐)
 + 1 Chainmail Leggings: Thorns II

Ride 10km on a Horse (⭐⭐⭐⭐⭐)
 + 192 Arrow
 + 1 Enchanted Book: Feather Falling IV
 + 6 Potion: Fire Resistance +
 + 1 Spyglass

Ride 600m on a Pig (⭐⭐⭐⭐)
 + 48 Quartz

Mine 32 Iron Ore (⭐)
 + 1 Iron Leggings
 + 1 Iron Pickaxe

Find a Nether Fortress (⭐⭐⭐⭐)
 + 24 Sponge

Trade with a Villager 12 times (⭐⭐⭐)
 + 8 Emerald

Harvest 112 Potatoes (⭐⭐)
 + 1 Diamond

Chop 128 Logs (⭐)
 + 32 Coal

Mine 32 Iron Ore (⭐)
 + 16 Coal
 + 1 Iron Helmet

Mine 88 Gold Ore (⭐⭐⭐)
 + 1 Iron Hoe: Efficiency II

Mine 176 Coal Ore (⭐⭐)
 + 1 Bow: Punch I

Enchant 7 Books (⭐⭐)
 + 1 Enchanted Book: Aqua Affinity

Enchant a Shield (⭐)
 + 4 Gold Ingot
 + 1 Iron Pickaxe

Chop 96 Oak Logs (⭐⭐)
 + 1 Chainmail Leggings: Unbreaking I

Enchant a Diamond Pickaxe (⭐)
 + 1 Iron Helmet
 + 1 Chainmail Chestplate

Level up 15 times (⭐⭐)
 + 1 Enchanted Book: Fortune III

Harvest 32 Sugar Cane (⭐)
 + 16 Iron Ingot

Chop 96 Oak Logs (⭐⭐)
 + 1 Chainmail Leggings: Protection II

Mine 80 Nether Quartz Ore (⭐⭐⭐)
 + 20 Ender Pearl

Find a Village (⭐⭐⭐)
 + 48 Cooked Chicken
 + 1 Crossbow

Kill 40 Cows (⭐⭐)
 + 2 Amethyst Shard

Chop 96 Logs (⭐)
 + 8 Iron Ingot
 + 1 Iron Pickaxe

Kill 6 Endermen (⭐⭐⭐)
 + 128 Arrow

Mine 32 Nether Gold Ore (⭐⭐⭐)
 + 7 Emerald

Chop 32 Logs (⭐)
 + 4 Iron Ingot

Enchant 9 Books (⭐⭐)
 + 52 Iron Ingot

Kill 10 Ghasts (⭐⭐⭐⭐⭐)
 + 1 Netherite Sword: Mending
 + 96 Iron Ingot

Harvest 32 Cocoa Beans (⭐⭐)
 + 64 Coal

Kill 44 Phantoms (⭐⭐⭐⭐)
 + 1 Netherite Leggings

Chop 160 Logs (⭐⭐)
 + 2 Emerald

Kill 3 Witches (⭐⭐⭐⭐)
 + 48 Flint
 + 6 Potion: Slow Falling

Kill 70 Zombies (⭐⭐⭐)
 + 16 Slime Ball

Kill 16 Endermen (⭐⭐⭐⭐)
 + 1 Netherite Sword
 + 48 Quartz
 + 1 Music Disc Mellohi

Harvest 112 Beetroots (⭐⭐)
 + 1 Enchanted Book: Fire Aspect II

Catch 12 fish (⭐)
 + 2 Splash Potion: Fire Resistance +

Harvest 112 Wheat (⭐)
 + 8 Gold Ingot

Harvest 36 Pumpkins (⭐⭐)
 + 3 Diamond

Harvest 16 Sea Pickles (⭐⭐⭐)
 + 1 Enchanted Book: Sweeping III

Find a Village (⭐⭐⭐)
 + 36 Gold Ingot

Mine 160 Coal Ore (⭐⭐)
 + 1 Chainmail Boots: Unbreaking II

Find a Village (⭐⭐⭐)
 + 48 Flint

Harvest 48 Sugar Cane (⭐⭐)
 + 5 Potion: Strength +

Swim 2,3km (⭐⭐⭐⭐)
 + 9 Diamond

Mine 16 Nether Quartz Ore (⭐⭐)
 + 6 Splash Potion: Speed +

Harvest 112 Carrots (⭐⭐)
 + 1 Chainmail Helmet: Unbreaking II

Kill 80 Skeletons (⭐⭐⭐⭐)
 + 1 Diamond Shovel: Unbreaking II
 + 96 Coal
 + 6 Potion: Speed

Travel 3km with a Boat (⭐⭐⭐)
 + 1 Chainmail Chestplate: Protection III

Kill 20 Cows (⭐⭐)
 + 1 Iron Chestplate
 + 1 Chainmail Boots
 + 1 Iron Sword

Mine 36 Diamond Ore (⭐⭐⭐⭐⭐)
 + 1 Netherite Sword: Sharpness II
 + 1 Enchanted Book: Thorns III
 + 6 Honey Bottle

Mine 96 Coal Ore (⭐)
 + 1 Diamond

Mine 96 Coal Ore (⭐)
 + 2 Emerald

Chop 160 Logs (⭐⭐)
 + 1 Splash Potion: Water Breathing
 + 1 Iron Leggings

Mine 192 Coal Ore (⭐⭐)
 + 32 Arrow

Find a Shipwreck (⭐⭐⭐)
 + 5 Sea Lantern

Find a Jungle Pyramid (⭐⭐⭐⭐⭐)
 + 24 Blaze Rod
 + 1 Enchanted Book: Looting III
 + 48 Flint

Mine 16 Copper Ore (⭐)
 + 1 Emerald

Chop 224 Logs (⭐⭐)
 + 1 Diamond

Chop 64 Dark Oak Logs (⭐⭐)
 + 1 Chainmail Helmet: Fire Protection II

Kill 100 Zombies (⭐⭐⭐)
 + 1 Enchanted Book: Protection IV
 + 1 Bow

Find an End City (⭐⭐⭐⭐⭐)
 + 16 Blaze Rod
 + 1 Netherite Boots
 + 6 Chorus Fruit

Reach level 30 (⭐⭐⭐)
 + 1 Iron Boots: Depth Strider III

Kill 80 Zombies (⭐⭐⭐)
 + 96 Iron Ingot

Harvest 112 Wheat (⭐)
 + 1 Iron Shovel: Efficiency III

Find a Desert Pyramid (⭐⭐⭐)
 + 1 Diamond Shovel: Fortune II

Harvest 80 Kelp (⭐)
 + 1 Splash Potion: Strength +
 + 1 Bow
 + 1 Iron Hoe

Harvest 32 Wheat (⭐)
 + 4 Cooked Porkchop

Chop 32 Oak Logs (⭐)
 + 16 Cooked Chicken

